1.5998426,0.52985437,1
0.25065517,1.30425162,1
0.76148911,0.60419602,1
0.75591032,-0.78994764,1
1.63605539,0.9225655,1
2.70520379,0.93285704,1
1.82870703,2.34804646,1
-0.08549264,0.99868399,1
0.44906531,0.90555838,1
0.49966187,1.59299327,1
1.00003726,-0.13822094,1
1.67943676,1.25283262,1
-1.00158649,2.73839505,1
3.32539035,-0.39289509,1
2.17885898,0.05984356,1
1.85977529,0.76782626,1
1.34470454,0.18312675,1
0.5974872,0.1228956,1
-1.52394333,-1.24558361,2
-2.48452861,-1.91070328,2
-1.04605257,-2.55270759,2
1.02370408,-1.67944911,2
-0.80492117,-1.49215482,2
-1.64954319,-3.41635041,2
-2.35543276,-0.37750433,2
-0.32384031,-2.08235145,2
-1.56576954,-1.22018985,2
-1.27853841,-1.28469686,2
-1.97696119,0.23717806,2
-1.78965834,-1.09026084,2
